#id,AGE,AGE (한글),MURDER TOOL,MURDER TOOL (한글),CLOTHE,CLOTHE (한글),SHOES,SHOES (한글),HEADWEAR,HEADWEAR (한글),ACCESSORY,ACCESSORY (한글),JOB,JOB (한글),TIME,TIME (한글),PLACE,PLACE (한글),SOUND,SOUND (한글),TRACE,TRACE (한글)
5011,20s,"20대 초반",Green Paring Knife,"연두색 손잡이가 달린 과도",Short Padded Coat,"허리 기장을 맞춘 흰색 숏 패딩 점퍼",White Running Shoes,"하얀색/파란색 배색의 유명 브랜드 러닝화",Dandy Hairstyle,"검은색 댄디 컷",Millitary Backpack,"군용 밀리터리 백팩",Mechanic,"정비공",Deep Dawn,"사람들의 대화 소리",Broken Street Lamp,"오전 3시",People Having Conversation,"고장난 가로등이 있는 골목길",Arson Attempt,"방화 시도의 흔적"
5012,30s,"30대 중반",Sharp Edged Stone,"1kg 정도의 뾰족한 돌",Duck Patch Hoodie,"소매에 노란색 오리 패치가 박힌 후드집업",White Platform Sneakers,"키높이 흰색 스니커즈",Natural Two Block,"손질되지 않은 검은색 투블럭 머리",Buddhist Bead Bracelet,"불교 나무 염주 팔찌",Guard,"경호원",Night,"뼈가 부서지는 소리",Messy Goshiwon,"오후 6시",Breaking Bone,"관리가 되지 않아 더러운 고시원",Nail Tips,"네일팁 몇 개"
5013,20s,"20대 초반",Green Paring Knife,"연두색 손잡이가 달린 과도",Yellow Short Cardigan,"노란색 짧은 니트 가디건",German Army Trainers,"갈색 고무 밑창의 흰색 독일군 스니커즈",Mid-long Ponytail,"중단발의 낮게 묶은 포니테일",Thick Chain Nechlace,"은색 굵은 체인 목걸이",Athletic Trainer,"스포츠 트레이너",Night,"고기 굽는 소리",Amusement Park Pillar,"오후 6시",Grill the Meat,"사람으로 늘 붐비는 실내 놀이공원의 기둥 앞",Women`s Underwear,"여자 속옷"
5014,40s,"40대 후반",Round Edged Stone,"2kg 정도 되는 둥근 돌",Long Field Jacket,"무릎 기장의 카키색 야상 점퍼",Logo Printed Slider,"유명 브랜드 로고가 있는 슬리퍼",Bob With Bangs,"앞머리가 있는 검은색 보브 컷",Black Backpack,"검은색 백팩",Athletic Trainer,"스포츠 트레이너",Late Night,"종이컵을 잘근잘근 씹는 소리",Famous Traditional Market,"오후 9시",Chewing Paper Cup,"지방의 유명 여행지로 유명한 재래 시장",Skid Mark,"타이어 자국"
5015,40s,"40대 후반",Flathead Screwdriver,"고무 손잡이가 달린 일자 드라이버",Vest With Slits,"옆부분에 트임이 있는 긴 흰색 니트 조끼",Ivowy Suede Moccasin,"아이보리색 스웨이드 모카신",Two Block Haircut,"왁스로 손질된 검은색 투블럭 머리",Colorful Bracelets,"팔 위에 여러 겹 겹쳐 낀 화려한 팔찌들",Mart Cashier,"마트 직원",Early Morning,"종이컵을 잘근잘근 씹는 소리",Big Old Arboretum,"오전 6시",Chewing Paper Cup,"개원한 지 30년 된 오래되고 넓은 수목원",Different Soil,"학교에는 없는 성분의 흙"
5016,40s,"40대 후반",Red Brick,"붉은색 벽돌",Undershirt,"흰색 런닝 셔츠",Ivowy Suede Moccasin,"아이보리색 스웨이드 모카신",Mid-long Straight Hair,"중단발의 검은 생머리",Thick Chain Nechlace,"은색 굵은 체인 목걸이",Janitor,"경비원",Late Night,"망치질 소리",Semi Basement Apartment,"오후 9시",Hammering Sound,"쇠창살 달린 창문이 있는 반지하 원룸",Metal Fragments,"금속 파편"
5017,60s,"60대 중반",Venomous Snake Cage,"독사가 든 케이지",Black Hiking Jacket,"검은색/회색 배색의 등산복",Thigh High Wellies,"허벅지까지 오는 고무 장화",Short Permed Hair,"밝은 갈색의 쉐도우 펌 커트 머리",Thick Chain Nechlace,"은색 굵은 체인 목걸이",Photographer,"포토그래퍼",Late Night,"고기 굽는 소리",Officetel Underground Parkinglot,"오후 9시",Grill the Meat,"오피스텔의 지하 주차장",Fingerprints,"지문 몇 점"
5018,20s,"20대 초반",Flathead Screwdriver,"고무 손잡이가 달린 일자 드라이버",Long Padded Coat,"로고를 일부러 떼어낸 검은색 롱패딩",Ivowy Suede Moccasin,"아이보리색 스웨이드 모카신",Cherry Red Hair,"체리 레드 염색머리",Black Backpack,"검은색 백팩",Nurse,"간호사",Late Night,"TV 속 스포츠 방송 중계 소리",Small Old Supermarket,"오후 9시",TV Sports Commentaries,"동네의 작고 낡은 슈퍼마켓",Paint Stain,"페인트 자국"
5019,40s,"40대 후반",Wooden Baseball Bat,"밝은 갈색의 나무 야구 배트",Blue Shirt,"검은색 넥타이와 파란색 와이셔츠",Black Long Boots,"검은색 10홀 가죽 워커",Short Curly Hair,"굵은 파마를 한 옅은 갈색의 숏컷",Black Disposable Mask,"검정색 일회용 마스크",Soldier,"군인",Early Morning,"종이컵을 잘근잘근 씹는 소리",Motel in Backstreet,"오전 6시",Chewing Paper Cup,"모텔촌에 위치한 낡은 모텔",Crumpled Cigarette Package,"구겨진 담배갑"
5020,20s,"20대 초반",Sniper Gun ULR338,"저격소총 ULR 338",Long Field Jacket,"무릎 기장의 카키색 야상 점퍼",German Army Trainers,"갈색 고무 밑창의 흰색 독일군 스니커즈",Pomade Hair,"잘 정돈된 포마드 머리",Wide Leather Bracelet,"손목을 다 덮는 가죽 팔찌",Mechanic,"정비공",Early Morning,"파도 소리",Officetel Management Office,"오전 6시",Sound of Wave,"오피스텔 관리실",Excrements,"누가 쌌는지 모를 배설물"
5021,40s,"40대 후반",Wooden Handle Hatchet,"나무 손잡이가 달린 캠핑용 도끼",White Tshirt,"흰색 무지 반팔",Red Converse,"빨간색 컨버스 운동화",Short Curly Hair,"굵은 파마를 한 옅은 갈색의 숏컷",Drop earrings,"아주 긴 드롭형 귀걸이",Athletic Trainer,"스포츠 트레이너",Deep Dawn,"변기 물 내리는 소리",Lonesome Bus Station,"오전 3시",Toilet Flush Sound,"인적 드문 시골의 유일한 버스 정류장",Fibrous Tissues,"섬유 조직 몇 개"
5022,20s,"20대 초반",Charging Cable,"검은색 충전기 케이블",Printed White Tshirt,"해변 사진이 나염되어 있는 흰색 반팔",Black Converse,"검은색 컨버스 운동화",Long Hair,"어깨선을 넘는 장발",Tennis Wristband,"스포츠 손목 보호대",Firefighter,"소방관",Late Night,"거센 바람 소리",Officetel Underground Parkinglot,"오후 9시",Strong Wind,"오피스텔의 지하 주차장",Feather,"옷 충전재로 사용되는 깃털 몇 가닥"
5023,50s,"50대 초반",Mechanical Pencil,"쇠로 만들어진 제도용 샤프 펜슬",Grey Hiking Jacket,"회색/분홍색 배색의 등산복",Bare Foot,"그냥 맨발",Short Permed Hair,"밝은 갈색의 쉐도우 펌 커트 머리",Black Disposable Mask,"검정색 일회용 마스크",Hotel Receptionist,"호텔 접수원",Morning,"손 관절을 꺾는 소리",Self Service Cafe,"오전 9시",Crack Knuckles,"낡은 공장을 개조해 만든 무인 카페",Light Brown Hair,"밝은 갈색의 머리카락"
5024,40s,"40대 후반",Red Chainsaw,"붉은색 손잡이의 큰 전기톱",Luxury Brown Shearing,"명품 브랜드의 옅은 갈색 무스탕",White Platform Sneakers,"키높이 흰색 스니커즈",Comma Hairstyle,"검은색 쉼표 머리",Buddhist Bead Bracelet,"불교 나무 염주 팔찌",Firefighter,"소방관",Late Night,"부채 소리",Old Guest House,"오후 9시",Fan Sound,"계곡가에 위치한, 노인이 운영하는 민박",Metal Fragments,"금속 파편"
5025,40s,"40대 후반",Monkey Wrench,"빨간색 12인치 몽키 스패너",Grey Hiking Jacket,"회색/분홍색 배색의 등산복",Suede Boat shoes,"갈색 스웨이드 보트슈즈",Long Brown hair,"장발의 밝은 갈색 염색머리",Black Backpack,"검은색 백팩",Mart Cashier,"마트 직원",Late Night,"사물이 미끄러져 박살나는 소리",Messy Dumpster Alley,"오후 9시",Slip and Crash,"원룸촌의 더러운 분리수거장",Scorch Mark,"불에 그슬린 자국"
5026,20s,"20대 초반",Expandable Nightstick,"검은색 호신용 삼단 곤봉",Jersey Zip Hoodie,"저지 소재 트레이닝복",Red Converse,"빨간색 컨버스 운동화",Cherry Red Hair,"체리 레드 염색머리",Skull Shaped Ring,"해골 모양으로 조각된 은색 반지",Mart Cashier,"마트 직원",Night,"휘파람 소리",Room Cafe,"오후 6시",Whistle,"대학교 앞에 위치한 룸카페",Different Soil,"학교에는 없는 성분의 흙"
5027,20s,"20대 초반",Aluminum Baseball Bat,"알루미늄 재질의 주황색 야구 배트",Long buttonless Cardigan,"갈색의 단추 없는 긴 가디건",Bare Foot,"그냥 맨발",Mid-long Straight Hair,"중단발의 검은 생머리",Silver Stainless Ring,"은색 써지컬 반지",Soldier,"군인",Deep Dawn,"가스레인지를 켜는 소리",Karaoke Underground,"오전 3시",Gas Range On,"지하 1층의 노래방",Chewed Gum,"구겨진 은박지에 싸인 씹던 껌"
5028,60s,"60대 중반",Potassium Cyanide,"청산가리",Grey Hiking Jacket,"회색/분홍색 배색의 등산복",Black Converse,"검은색 컨버스 운동화",Mid-long Hair,"어깨선까지 오는 중단발",Skull Shaped Ring,"해골 모양으로 조각된 은색 반지",Model,"모델",Morning,"종이컵을 잘근잘근 씹는 소리",Famous Traditional Market,"오전 9시",Chewing Paper Cup,"지방의 유명 여행지로 유명한 재래 시장",Footprint 240mm Loper,"240mm 정도의 단화 발자국"
5029,30s,"30대 중반",Surgical Blade,"날카로운 의료용 메스",Logo Printed Sweatshirt,"유명 브랜드 로고가 프린트되어 있는 회색 맨투맨",Chess Patteren loafer,"체스판 무늬의 슬립온",Mid-long Curly Hair,"중단발의 밝은 갈색 곱슬머리",Wide Leather Bracelet,"손목을 다 덮는 가죽 팔찌",Chef,"요리사",Deep Dawn,"껌 씹는 소리",Messy Goshiwon,"오전 3시",Chewing Gum,"관리가 되지 않아 더러운 고시원",Maggot,"이제 막 태어난 작은 구더기"
5030,40s,"40대 후반",Potassium Cyanide,"청산가리",Yellow Short Cardigan,"노란색 짧은 니트 가디건",Black Low Sneakers,"검은색 낮은 운동화",Mid-long Curly Hair,"중단발의 밝은 갈색 곱슬머리",Wide Leather Bracelet,"손목을 다 덮는 가죽 팔찌",Sanitation Worker,"환경미화원",Early Morning,"불규칙한 발걸음 소리",Old DVD room,"오전 6시",Irregular Walking Sound,"오래된 건물 3층에 있는 DVD방",Glass Fragments,"유리 파편"
5031,50s,"50대 초반",Beer Bottle,"깨지지 않은 500ml 갈색 맥주병",Black Hiking Jacket,"검은색/회색 배색의 등산복",Ivory Converse,"아이보리색 컨버스 운동화",Two Block Haircut,"왁스로 손질된 검은색 투블럭 머리",Drop earrings,"아주 긴 드롭형 귀걸이",Soldier,"군인",Early Morning,"부채 소리",Subway Station Entrance,"오전 6시",Fan Sound,"유동인구가 많은 지하철 역 입구",Crumpled Cigarette Package,"구겨진 담배갑"
5032,20s,"20대 초반",Green Utility Knife,"초록색 문구용 커터칼",Long buttonless Cardigan,"갈색의 단추 없는 긴 가디건",White Platform Sneakers,"키높이 흰색 스니커즈",Long Curly Hair,"장발의 곱슬머리",Engagement Ring,"네 번째 손가락에 반지",Firefighter,"소방관",Deep Dawn,"손 관절을 꺾는 소리",Town Hall,"오전 3시",Crack Knuckles,"시골 마을의 마을 회관",Black Hair,"검정색 머리카락"
5033,50s,"50대 초반",Pottassium Chloride,"염화칼륨",Blue Shirt,"검은색 넥타이와 파란색 와이셔츠",Chess Patteren loafer,"체스판 무늬의 슬립온",Perm With Bangs,"앞머리가 있는 갈색 파마 머리",Thick Chain Nechlace,"은색 굵은 체인 목걸이",Model,"모델",Late Night,"고속도로 자동차 소리",Semi Basement Apartment,"오후 9시",Cars On Highway,"쇠창살 달린 창문이 있는 반지하 원룸",Black Button,"검정색 단추"
5034,40s,"40대 후반",Bottle of Propofol,"프로포폴 약병",Long Sleeve Tshirt,"소매가 매우 긴 기장의 청록색 티셔츠",Black Leather Loafer,"검은색 무광 가죽 로퍼",Long Bleached hair,"장발의 탈색모",Buddhist Bead Bracelet,"불교 나무 염주 팔찌",Actor,"배우",Morning,"TV 속 스포츠 방송 중계 소리",SUV Back Seats,"오전 9시",TV Sports Commentaries,"검은색 SUV 차량 뒷좌석",Maggot,"이제 막 태어난 작은 구더기"
5035,60s,"60대 중반",Wooden Baseball Bat,"밝은 갈색의 나무 야구 배트",Black Hiking Jacket,"검은색/회색 배색의 등산복",Strapped Leather Sandal,"스트랩이 두 개 달려 있는 검정색 가죽 샌들",Black Short Babyperm,"검은색의 짧은 베이비 펌 커트 머리",Black Backpack,"검은색 백팩",Professor,"교수",Late Night,"손 관절을 꺾는 소리",Old Snack Bar,"오후 9시",Crack Knuckles,"학교 앞 분식집",Bullet,"총알 1개"
5036,20s,"20대 초반",Rusty Hammer,"검은색 고무 손잡이가 달린 녹슨 쇠 망치",Vest With Slits,"옆부분에 트임이 있는 긴 흰색 니트 조끼",Red Football Boots,"빨간색/검은색 배색의 축구화",Long Hair,"어깨선을 넘는 장발",Lion Shaped Ring,"사자 얼굴 모양으로 조각된 은색 반지",Professor,"교수",Around Midnight,"TV 속 스포츠 방송 중계 소리",Subway Station Entrance,"밤 12시",TV Sports Commentaries,"유동인구가 많은 지하철 역 입구",Irregular Footprints,"알 수 없는 패턴의 발자국"
5037,20s,"20대 초반",Sniper Gun ULR338,"저격소총 ULR 338",Stripe Tshirt,"푸른색/흰색 스트라이프 반팔 셔츠",White Platform Sneakers,"키높이 흰색 스니커즈",Pixie Cut,"앞머리가 있는 단정한 숏컷",Black Disposable Mask,"검정색 일회용 마스크",Chef,"요리사",Night,"휘파람 소리",Room Cafe,"오후 6시",Whistle,"대학교 앞에 위치한 룸카페",Fly,"파리 시체 한 마리"
5038,40s,"40대 후반",Green Utility Knife,"초록색 문구용 커터칼",Cotton Zip Hoodie,"면 소재 트레이닝복",Brown Leather Loafer,"연갈색 무광 가죽 로퍼",Dandy Hairstyle,"검은색 댄디 컷",Black Backpack,"검은색 백팩",Mechanic,"정비공",Late Night,"삽으로 흙을 파는 소리",Blackout Parking Lot,"오후 9시",Digging With Shovel,"정전된 아파트 지하주차장",Irregular Footprints,"알 수 없는 패턴의 발자국"
5039,40s,"40대 후반",Fishing Wire,"낚싯줄",Stripe Turtleneck Knit,"검은색/흰색 스트라이프 폴라 니트",White Basketball Shoes,"흰색 농구화",Short Hair,"숏컷",Tennis Wristband,"스포츠 손목 보호대",Chef,"요리사",Deep Dawn,"강아지 짖는 소리",University Hospital,"오전 3시",Dog Barking,"역 주변에 위치한 대형 대학병원",Disposable Lighter,"다방 전화번호가 쓰여 있는 일회용 라이터"
5040,50s,"50대 초반",Cattle Gun,"도축용 에어 건",Ivy League Hoodie,"해외 대학교 로고와 이름이 수놓아진 붉은색 후드 티셔츠",Brown Leather Loafer,"연갈색 무광 가죽 로퍼",Comma Hairstyle,"검은색 쉼표 머리",Skull Shaped Ring,"해골 모양으로 조각된 은색 반지",Professor,"교수",Deep Dawn,"나지막한 대화 소리",Old Guest House,"오전 3시",Quite Conversation,"계곡가에 위치한, 노인이 운영하는 민박",Empty Cartridge,"탄피 몇 개"
5041,30s,"30대 중반",Monkey Wrench,"빨간색 12인치 몽키 스패너",Old Denim Jacket,"명품이긴한데 오래되어 낡은 청자켓",Red Converse,"빨간색 컨버스 운동화",Long Hair,"어깨선을 넘는 장발",Thick Chain Nechlace,"은색 굵은 체인 목걸이",Hair Designer,"미용사",Late Night,"핸드폰 알람 소리",Deep Forest,"오후 9시",Phone Alarm Ringing,"길을 찾을 수 없는 깊은 숲 속",Irregular Footprints,"알 수 없는 패턴의 발자국"
5042,30s,"30대 중반",Gasoline With Zippo,"휘발유와 지포 라이터",Cotton Zip Hoodie,"면 소재 트레이닝복",Bare Foot,"그냥 맨발",Long Permed Hair,"장발의 파마머리",Thick Chain Nechlace,"은색 굵은 체인 목걸이",Model,"모델",Deep Dawn,"휘파람 소리",Self Service Cafe,"오전 3시",Whistle,"낡은 공장을 개조해 만든 무인 카페",Fly,"파리 시체 한 마리"
5043,20s,"20대 초반",Red Chainsaw,"붉은색 손잡이의 큰 전기톱",Blue Shirt,"검은색 넥타이와 파란색 와이셔츠",Brown Flip Flop,"갈색 스팽글 장식 플립플랍",Pixie Cut,"앞머리가 있는 단정한 숏컷",Electronics Anklet,"전자 발찌",Banker,"은행원",Morning,"칠판을 손톱으로 긁는 소리",Lonesome Bus Station,"오전 9시",Chalkboard Scraping,"인적 드문 시골의 유일한 버스 정류장",Bullet,"총알 1개"
5044,60s,"60대 중반",Wrapped Blowfish Sashimi,"포장된 복어회",China Collar Shirt,"땀으로 젖은 차이나 칼라 와이셔츠",Black Dress Shoes,"검은색 유광 정장 구두",Comma Hairstyle,"검은색 쉼표 머리",Millitary Backpack,"군용 밀리터리 백팩",Sanitation Worker,"환경미화원",Morning,"손가락 튕기는 소리",Messy Goshiwon,"오전 9시",Finger Snap,"관리가 되지 않아 더러운 고시원",Black Vinyl Bag,"검은 비닐 봉지"
5045,60s,"60대 중반",Water,"물",Grey Knit Shirt,"카라가 있는 연한 회색 니트 셔츠",Black Low Sneakers,"검은색 낮은 운동화",Short Permed Hair,"밝은 갈색의 쉐도우 펌 커트 머리",Lion Shaped Ring,"사자 얼굴 모양으로 조각된 은색 반지",Janitor,"경비원",Late Night,"삽으로 흙을 파는 소리",Semi Basement Apartment,"오후 9시",Digging With Shovel,"쇠창살 달린 창문이 있는 반지하 원룸",Chewed Gum,"구겨진 은박지에 싸인 씹던 껌"
5046,40s,"40대 후반",Coca-cola Bottle,"350ml 코카콜라 병",Logo Printed Windbreaker,"유명 브랜드 로고가 있는 바람막이 점퍼",German Army Trainers,"갈색 고무 밑창의 흰색 독일군 스니커즈",Comma Hairstyle,"검은색 쉼표 머리",Buddhist Bead Bracelet,"불교 나무 염주 팔찌",Engineer,"연구원",Morning,"턱 관절이 어긋나는 소리",Officetel Management Office,"오전 9시",Twisting Jaw joint,"오피스텔 관리실",Arson Attempt,"방화 시도의 흔적"
5047,20s,"20대 초반",Wooden Board,"공사장에서 사용하는 각목",Short Padded Coat,"허리 기장을 맞춘 흰색 숏 패딩 점퍼",Black Low Sneakers,"검은색 낮은 운동화",Pixie Cut,"앞머리가 있는 단정한 숏컷",Cross Charm Bracelet,"십자가 모양의 장식이 달린 명품 팔찌",Cleaner,"청소부",Night,"드릴 소리",Inside Taxi,"오후 6시",Drilling,"택시 안",Nail Tips,"네일팁 몇 개"
5048,40s,"40대 후반",Police Nightstick,"검은색 경찰 곤봉",China Collar Shirt,"땀으로 젖은 차이나 칼라 와이셔츠",Black Long Boots,"검은색 10홀 가죽 워커",Low Ponytail,"장발의 낮게 묶은 포니테일",Lip Piercing,"입술 피어싱",Sanitation Worker,"환경미화원",Late Night,"칠판을 손톱으로 긁는 소리",Lecture Hall,"오후 9시",Chalkboard Scraping,"대학교 건물 안 강의실",Paint Stain,"페인트 자국"
5049,30s,"30대 중반",BBQ Fork,"바베큐 포크",Emerald Coach Jacket,"어두운 초록색의 코치 자켓",Ivowy Suede Moccasin,"아이보리색 스웨이드 모카신",Pomade Hair,"잘 정돈된 포마드 머리",Millitary Backpack,"군용 밀리터리 백팩",Professor,"교수",Morning,"어디에선가 들려오는 희미한 음악 소리",Single Corridor Apartment,"오전 9시",Hazy Music,"낡은 복도식 아파트",Disposable Lighter,"다방 전화번호가 쓰여 있는 일회용 라이터"
5050,70s,"70대 후반",Pesticide,"페트병에 담겨 있는 농약",Cotton Zip Hoodie,"면 소재 트레이닝복",White Stained Boots,"흰색의 얼룩진 8홀 가죽 워커",Natural Two Block,"손질되지 않은 검은색 투블럭 머리",Lion Shaped Ring,"사자 얼굴 모양으로 조각된 은색 반지",Soldier,"군인",Night,"관절이 뒤틀리는 소리",Franchise Pub,"오후 6시",Joint twisted,"2층에 있는 프랜차이즈 술집",Excrements,"누가 쌌는지 모를 배설물"
5051,30s,"30대 중반",Beer Bottle,"깨지지 않은 500ml 갈색 맥주병",Duck Patch Hoodie,"소매에 노란색 오리 패치가 박힌 후드집업",Black Leather Loafer,"검은색 무광 가죽 로퍼",Pixie Cut,"앞머리가 있는 단정한 숏컷",Thick Chain Nechlace,"은색 굵은 체인 목걸이",Nurse,"간호사",Late Night,"신음 참는 소리",Deep Forest,"오후 9시",Bearing Groaning,"길을 찾을 수 없는 깊은 숲 속",Crumpled Cigarette Package,"구겨진 담배갑"
5052,70s,"70대 후반",Irregular Shaped Rock,"모양이 일정치 않은 10kg 정도의 바위",Blue Shirt,"검은색 넥타이와 파란색 와이셔츠",Black Converse,"검은색 컨버스 운동화",Buzz cut hair,"반삭",Millitary Backpack,"군용 밀리터리 백팩",Photographer,"포토그래퍼",Deep Dawn,"바닥에 침을 뱉는 소리",Subway Station Entrance,"오전 3시",Spit On Ground,"유동인구가 많은 지하철 역 입구",Paint Stain,"페인트 자국"
5053,30s,"30대 중반",Old Circular Saw,"여러 번 사용한 듯한 낡은 원형 톱",Long Padded Coat,"로고를 일부러 떼어낸 검은색 롱패딩",Black Leather Loafer,"검은색 무광 가죽 로퍼",Long Hair,"어깨선을 넘는 장발",Wide Leather Bracelet,"손목을 다 덮는 가죽 팔찌",Janitor,"경비원",Morning,"비명 소리",Officetel Underground Parkinglot,"오전 9시",Screaming,"오피스텔의 지하 주차장",Maggot,"이제 막 태어난 작은 구더기"
5054,60s,"60대 중반",Wooden Board,"공사장에서 사용하는 각목",Emerald Coach Jacket,"어두운 초록색의 코치 자켓",Black Low Sneakers,"검은색 낮은 운동화",Mid-long Curly Hair,"중단발의 밝은 갈색 곱슬머리",Tennis Wristband,"스포츠 손목 보호대",Janitor,"경비원",Night,"손 관절을 꺾는 소리",Closed Amusement Park,"오후 6시",Crack Knuckles,"넓은 공원의 폐장된 유원지",Written In Blood,"핏자국으로 그린 표식"
5055,40s,"40대 후반",Wodden Handle Shovel,"손때 묻은 나무 손잡이 삽",Duck Patch Hoodie,"소매에 노란색 오리 패치가 박힌 후드집업",Black Low Sneakers,"검은색 낮은 운동화",Low Ponytail,"장발의 낮게 묶은 포니테일",Millitary Backpack,"군용 밀리터리 백팩",Professor,"교수",Late Afternoon,"강아지 짖는 소리",Private English Academy,"오후 3시",Dog Barking,"학원가 건물 5층의 영어 학원",Nail Tips,"네일팁 몇 개"
5056,60s,"60대 중반",Red Chainsaw,"붉은색 손잡이의 큰 전기톱",Charcoal Hoodie,"어두운 회색 후드 티셔츠",Black Converse,"검은색 컨버스 운동화",Natural Two Block,"손질되지 않은 검은색 투블럭 머리",Stud Earrings,"귀에 딱 붙는 귀걸이",Soldier,"군인",Late Night,"사람들의 대화 소리",Private English Academy,"오후 9시",People Having Conversation,"학원가 건물 5층의 영어 학원",Fibrous Tissues,"섬유 조직 몇 개"
5057,40s,"40대 후반",Chisel,"조각 작업용 정",Yellow Short Cardigan,"노란색 짧은 니트 가디건",Strapped Leather Sandal,"스트랩이 두 개 달려 있는 검정색 가죽 샌들",High Ponytail,"장발을 높게 묶은 포니테일",Millitary Backpack,"군용 밀리터리 백팩",Mechanic,"정비공",Late Night,"헬리콥터 프로펠러 소리",Inside Taxi,"오후 9시",Propeller Sound,"택시 안",Fibrous Tissues,"섬유 조직 몇 개"
5058,20s,"20대 초반",Wooden Baseball Bat,"밝은 갈색의 나무 야구 배트",China Collar Shirt,"땀으로 젖은 차이나 칼라 와이셔츠",Red Football Boots,"빨간색/검은색 배색의 축구화",Pink Permed Hair,"밝은 분홍색의 커트 파마 머리",Cross Charm Bracelet,"십자가 모양의 장식이 달린 명품 팔찌",Hotel Receptionist,"호텔 접수원",Night,"고속도로 자동차 소리",Studio Airbnb,"오후 6시",Cars On Highway,"혼자 거주할 수 있는 원룸형 에어비앤비",Nail Tips,"네일팁 몇 개"
5059,40s,"40대 후반",Pesticide,"페트병에 담겨 있는 농약",Long buttonless Cardigan,"갈색의 단추 없는 긴 가디건",Red Converse,"빨간색 컨버스 운동화",Mid-long Ponytail,"중단발의 낮게 묶은 포니테일",Millitary Backpack,"군용 밀리터리 백팩",Mechanic,"정비공",Late Night,"자동차 브레이크 소리",Private English Academy,"오후 9시",Skid Sounds,"학원가 건물 5층의 영어 학원",Women`s Underwear,"여자 속옷"
5060,30s,"30대 중반",Beer Bottle,"깨지지 않은 500ml 갈색 맥주병",Duck Patch Hoodie,"소매에 노란색 오리 패치가 박힌 후드집업",White Running Shoes,"하얀색/파란색 배색의 유명 브랜드 러닝화",Dandy Hairstyle,"검은색 댄디 컷",Eyebrow Piercing,"눈썹 피어싱",Mart Cashier,"마트 직원",Morning,"가방 안 물건들이 흔들리는 소리",Hostel (Normal Dorm),"오전 9시",Backpack Stuff Shaking,"세계 각국의 여행자가 머무르는 호스텔",Fingerprints,"지문 몇 점"
5061,40s,"40대 후반",Studded Dirty Knuckle,"마디마다 스터드가 박힌 두껍고 더러운 금색 너클",Long Field Jacket,"무릎 기장의 카키색 야상 점퍼",Red Converse,"빨간색 컨버스 운동화",Mid-long Ponytail,"중단발의 낮게 묶은 포니테일",Tennis Wristband,"스포츠 손목 보호대",Model,"모델",Morning,"휘파람 소리",PC cafe,"오전 9시",Whistle,"중학교 앞 건물 2층의 최신식 PC방",Women`s Underwear,"여자 속옷"
5062,30s,"30대 중반",Wrapped Blowfish Sashimi,"포장된 복어회",White Tshirt,"흰색 무지 반팔",Old Leather Oxford,"낡은 갈색 가죽 옥스포드",Short Permed Hair,"밝은 갈색의 쉐도우 펌 커트 머리",Leg Prosthetics,"의족",Nurse,"간호사",Late Afternoon,"이를 가는 소리",Blackout Parking Lot,"오후 3시",Grind one`s Teeth,"정전된 아파트 지하주차장",Crumpled Cigarette Package,"구겨진 담배갑"
5063,50s,"50대 초반",Walther PPK .32ACP,"장식용 32구경 PPK 독일제",Emerald Coach Jacket,"어두운 초록색의 코치 자켓",Logo Printed Slider,"유명 브랜드 로고가 있는 슬리퍼",Pink Permed Hair,"밝은 분홍색의 커트 파마 머리",Tennis Wristband,"스포츠 손목 보호대",Actor,"배우",Late Night,"망치질 소리",Night Mountain,"오후 9시",Hammering Sound,"야산 깊은 곳",Feather,"옷 충전재로 사용되는 깃털 몇 가닥"
5064,30s,"30대 중반",Crosshead Screwdriver,"노란색 플라스틱 손잡이가 달린 십자 드라이버",Crop Vest Knit,"옆부분에 트임이 있는 크롭 기장의 초록색 조끼",Red Football Boots,"빨간색/검은색 배색의 축구화",Short Permed Hair,"밝은 갈색의 쉐도우 펌 커트 머리",Leg Prosthetics,"의족",Mart Cashier,"마트 직원",Late Night,"에어컨 조작 소리",Cafe Terrace,"오후 9시",Remote Air Conditioner,"1층 프랜차이즈 카페의 테라스",Body Hair,"체모"
5065,30s,"30대 중반",Fire Poker,"벽난로용 불쏘시개",Long Field Jacket,"무릎 기장의 카키색 야상 점퍼",White Running Shoes,"하얀색/파란색 배색의 유명 브랜드 러닝화",High Ponytail,"장발을 높게 묶은 포니테일",Tennis Wristband,"스포츠 손목 보호대",Soldier,"군인",Early Morning,"사람들의 대화 소리",Semi Basement Apartment,"오전 6시",People Having Conversation,"쇠창살 달린 창문이 있는 반지하 원룸",Lipstick Stained Cigarette,"립스틱이 묻은 담배꽁초"
5066,40s,"40대 후반",Shinai,"연습용 죽도",Brown Wool Coat,"짙은 갈색의 울 코트",White Running Shoes,"하얀색/파란색 배색의 유명 브랜드 러닝화",Short Permed Hair,"밝은 갈색의 쉐도우 펌 커트 머리",Colorful Bracelets,"팔 위에 여러 겹 겹쳐 낀 화려한 팔찌들",Director,"연출가",Early Morning,"선풍기 소리",Greek Style Pension,"오전 6시",Electric Fan Sound,"바닷가에 위치한 그리스식 인테리어 펜션",Used Toilet Paper,"사용한 휴지 몇 장"
